
"HORA","RPM","VEL","TEMP","LOAD"
"14:39:07.523","41 0C 0F 40 
","
>41 0D 0C 
","
>","41 05 80 

>"
"14:39:12.651","41 04 F6 

>","41 0C 28 C0 

>","41 0D 20 

>","41 05 80 

>41 04 00 
"
"14:39:17.786","
>41 0C 16 10 
","
>","41 0D 25 

>41 05 81 
","
>41 04 43 
"
"14:39:22.910","
>","41 0C 0F 5C 

>41 0D 0D 
","
>41 05 82 
","
>"
"14:39:28.035","41 04 E4 

>","41 0C 1B 8C 

>","41 0D 14 

>","41 05 82 

>"
"14:39:33.166","41 04 CE 

>","41 0C 2A 34 

>41 0D 21 
","
>41 05 82 
","
>"
"14:39:38.283","41 04 EF 

>","41 0C 1D 68 

>","41 0D 28 

>","41 05 84 

>"
"14:39:43.395","41 04 4C 

>","41 0C 13 0C 

>","41 0D 14 

>","41 05 85 

>"
"14:39:48.512","41 04 60 

>","41 0C 14 F4 

>","41 0D 1B 

>41 05 83 
","
>"
"14:39:53.620","41 04 4F 

>","41 0C 16 E8 

>","41 0D 1B 

>","41 05 81 

>"
"14:39:58.726","41 04 3E 

>","41 0C 16 DC 

>","41 0D 1D 

>","41 05 7F 

>41 04 3D 
"
"14:40:03.852","
>","41 0C 1C C8 

>","41 0D 1C 

>41 05 7F 
","
>41 04 FB 
"
"14:40:08.967","
>","41 0C 1B 64 

>","41 0D 27 

>","41 05 80 

>"
"14:40:14.085","41 04 00 

>","41 0C 1B 14 

>","41 0D 20 

>","41 05 81 

>41 04 46 
"
"14:40:19.209","
>","41 0C 12 B8 

>41 0D 1C 
","
>","41 05 82 

>41 04 D3 
"
"14:40:24.328","
>","41 0C 1F 38 

>","41 0D 24 

>41 05 82 
","
>41 04 FB 
"
"14:40:29.448","
>","41 0C 1A 98 

>41 0D 2A 
","
>","41 05 81 

>41 04 3B 
"
"14:40:34.572","
>41 0C 21 CC 
","
>","41 0D 31 

>","41 05 80 

>"
"14:40:39.701","41 04 85 

>","41 0C 15 C4 

>","41 0D 31 

>","41 05 7F 

>"
"14:40:44.812","41 04 3A 

>","41 0C 15 58 

>41 0D 31 
","
>41 05 80 
","
>"
"14:40:49.928","41 04 3B 

>41 0C 10 CC 
","
>41 0D 24 
","
>41 05 80 
","
>"
"14:40:55.029","41 04 4E 

>","41 0C 13 B8 

>41 0D 17 
","
>","41 05 81 

>"
"14:41:12.760","41 04 CA 

>","41 0C 19 70 

>","41 0D 1D 

>","41 05 81 

>"
"14:41:17.847","41 04 A1 

>","41 0C 1D 3C 

>","41 0D 21 

>","41 05 81 

>41 04 60 
"
"14:41:22.941","
>","41 0C 15 E0 

>","41 0D 17 

>","41 05 81 

>"
"14:41:16.385","41 04 4A 

>","41 0C 15 C8 

>","41 0D 18 

>","41 05 80 

>"
"14:41:21.456","41 04 55 

>","41 0C 0D EC 

>","41 0D 0A 

>","41 05 81 

>41 04 6B 
"
"14:41:26.520","
>41 0C 12 00 
","
>41 0D 0D 
","
>41 05 81 
","
>41 04 5D 
"
"14:41:31.597","
>","41 0C 12 F0 

>","41 0D 0E 

>","41 05 81 

>"
"14:41:36.667","41 04 54 

>41 0C 0F A8 
","
>41 0D 0C 
","
>","41 05 80 

>41 04 53 
"
"14:41:41.736","
>","41 0C 18 C0 

>","41 0D 10 

>","41 05 80 

>"
"14:41:46.803","41 04 8F 

>","41 0C 17 74 

>","41 0D 14 

>","41 05 80 

>"
"14:41:51.870","41 04 48 

>41 0C 0C EC 
","
>41 0D 05 
","
>41 05 80 
","
>41 04 86 
"
"14:41:56.942","
>","41 0C 0C 08 

>","41 0D 01 

>","41 05 81 

>"
"14:42:02.044","41 04 88 

>","41 0C 0B C4 

>","41 0D 00 

>","41 05 81 

>"
"14:42:07.145","41 04 79 

>","41 0C 0D B4 

>","41 0D 06 

>","41 05 82 

>41 04 7A 
"
"14:42:12.258","
>41 0C 0C 58 
","
>41 0D 04 
","
>41 05 82 
","
>"
"14:42:17.399","41 04 87 

>41 0C 0C 08 
","
>","41 0D 00 

>","41 05 82 

>"
"14:42:22.516","41 04 87 

>41 0C 0C 08 
","
>41 0D 00 
","
>41 05 82 
","
>41 04 87 
"
"14:42:27.627","
>","41 0C 13 5C 

>","41 0D 09 

>","41 05 82 

>"
"14:42:32.740","41 04 99 

>","41 0C 13 EC 

>41 0D 10 
","
>41 05 81 
","
>41 04 50 
"
"14:42:37.856","
>","41 0C 12 F4 

>","41 0D 0F 

>","41 05 80 

>"
"14:42:42.964","41 04 53 

>41 0C 11 F8 
","
>41 0D 0E 
","
>","41 05 80 

>"
"14:42:48.082","41 04 4B 

>","41 0C 0C 48 

>41 0D 02 
","
>","41 05 80 

>"
"14:42:53.181","41 04 7B 

>41 0C 0C 08 
","
>","41 0D 00 

>","41 05 80 

>41 04 9B 
"
"14:42:58.294","
>","41 0C 0B B8 

>41 0D 00 
","
>41 05 81 
","
>"
"14:43:03.422","41 04 87 

>41 0C 15 A0 
","
>","41 0D 09 

>","41 05 82 

>"
"14:43:08.536","41 04 A3 

>41 0C 18 40 
","
>41 0D 13 
","
>","41 05 82 

>41 04 72 
"
"14:43:13.653","
>41 0C 12 30 
","
>41 0D 0D 
","
>","41 05 82 

>"
"14:43:18.764","41 04 63 

>","41 0C 0D 08 

>41 0D 05 
","
>41 05 82 
","
>"
"14:43:23.894","41 04 84 

>41 0C 0C 10 
","
>41 0D 00 
","
>","41 05 82 

>41 04 8A 
"
"14:43:28.970","
>","41 0C 0B B0 

>41 0D 00 
","
>41 05 82 
","
>"
"14:43:34.078","41 04 89 

>41 0C 0B B0 
","
>","41 0D 00 

>","41 05 82 

>"
"14:43:39.190","41 04 87 

>41 0C 0B CC 
","
>","41 0D 00 

>","41 05 82 

>"
"14:43:44.287","41 04 86 

>","41 0C 0B B0 

>","41 0D 01 

>","41 05 82 

>41 04 91 
"
"14:43:49.401","
>41 0C 0C 88 
","
>41 0D 04 
","
>","41 05 82 

>"
"14:43:54.498","41 04 86 

>","41 0C 0B F4 

>","41 0D 00 

>","41 05 82 

>"
"14:43:59.610","41 04 86 

>41 0C 0B D0 
","
>","41 0D 00 

>","41 05 82 

>"
"14:44:04.722","41 04 85 

>41 0C 16 C0 
","
>","41 0D 0B 

>41 05 82 
","
>41 04 7B 
"
"14:44:09.825","
>41 0C 13 A4 
","
>41 0D 0F 
","
>41 05 81 
","
>"
"14:44:14.931","41 04 52 

>","41 0C 10 F8 

>","41 0D 0D 

>","41 05 81 

>"
"14:44:20.044","41 04 5E 

>","41 0C 0D 94 

>41 0D 09 
","
>41 05 80 
","
>"
"14:44:25.154","41 04 73 

>","41 0C 0C 5C 

>","41 0D 03 

>","41 05 81 

>"
