,HORA,RPM,VEL,TEMP,LOAD
0,14:39:07.523,976.0,12.0,24.2,50.2
1,14:39:12.651,317.0,192.0,-8.0,0.0
2,14:39:17.786,1412.0,82.2,89.0,26.27
3,14:39:22.910,315.0,13.0,90.0,50.6
4,14:39:28.035,313.0,140.0,-20.0,50.98
5,14:39:33.166,307.0,33.0,90.0,50.6
6,14:39:38.283,315.0,104.0,0.0,51.76
7,14:39:43.395,275.0,12.0,-20.0,52.16
8,14:39:48.512,280.0,244.0,91.0,50.6
9,14:39:53.620,275.0,232.0,-13.0,50.59
10,14:39:58.726,271.0,220.0,-11.0,23.92
11,14:40:03.852,315.0,200.0,87.0,98.43
12,14:40:08.967,315.0,100.0,-1.0,50.2
13,14:40:14.085,256.0,20.0,-8.0,27.45
14,14:40:19.209,315.0,28.0,24.2,82.75
15,14:40:24.328,315.0,56.0,90.0,98.43
16,14:40:29.448,315.0,42.0,24.2,23.14
17,14:40:34.572,2163.0,82.2,9.0,50.2
18,14:40:39.701,289.0,196.0,9.0,49.8
19,14:40:44.812,270.0,49.0,88.0,50.6
20,14:40:49.928,1075.0,36.0,88.0,50.6
21,14:40:55.029,275.0,23.0,24.2,50.59
22,14:41:12.760,306.0,112.0,-11.0,50.59
23,14:41:17.847,296.0,60.0,-7.0,37.65
24,14:41:22.941,315.0,224.0,-17.0,50.59
25,14:41:16.385,274.0,200.0,-16.0,50.2
26,14:41:21.456,277.0,236.0,-30.0,41.96
27,14:41:26.520,1152.0,13.0,89.0,36.47
28,14:41:31.597,315.0,240.0,-26.0,50.59
29,14:41:36.667,1002.0,12.0,24.2,32.55
30,14:41:41.736,315.0,192.0,-24.0,50.2
31,14:41:46.803,291.0,116.0,-20.0,50.2
32,14:41:51.870,827.0,5.0,88.0,52.55
33,14:41:56.942,315.0,8.0,-39.0,50.59
34,14:42:02.044,290.0,196.0,-40.0,50.59
35,14:42:07.145,286.0,180.0,-34.0,47.84
36,14:42:12.258,790.0,4.0,90.0,50.6
37,14:42:17.399,770.0,82.2,-40.0,50.98
38,14:42:22.516,770.0,0.0,90.0,52.94
39,14:42:27.627,315.0,92.0,-31.0,50.98
40,14:42:32.740,294.0,16.0,89.0,31.37
41,14:42:37.856,315.0,244.0,-25.0,50.2
42,14:42:42.964,1150.0,14.0,24.2,50.2
43,14:42:48.082,274.0,2.0,24.2,50.2
44,14:42:53.181,770.0,82.2,-40.0,60.78
45,14:42:58.294,315.0,0.0,89.0,50.6
46,14:43:03.422,1384.0,82.2,-31.0,50.98
47,14:43:08.536,1552.0,19.0,24.2,44.71
48,14:43:13.653,1164.0,13.0,24.2,50.98
49,14:43:18.764,280.0,5.0,90.0,50.6
50,14:43:23.894,772.0,0.0,24.2,54.12
51,14:43:28.970,315.0,0.0,90.0,50.6
52,14:43:34.078,748.0,82.2,-40.0,50.98
53,14:43:39.190,755.0,82.2,-40.0,50.98
54,14:43:44.287,289.0,176.0,-39.0,56.86
55,14:43:49.401,802.0,4.0,24.2,50.98
56,14:43:54.498,289.0,244.0,-40.0,50.98
57,14:43:59.610,756.0,82.2,-40.0,50.98
58,14:44:04.722,1456.0,82.2,90.0,48.24
59,14:44:09.825,1257.0,15.0,89.0,50.6
60,14:44:14.931,276.0,248.0,-27.0,50.59
61,14:44:20.044,279.0,9.0,88.0,50.6
